symbol	alias_symbol	prev_symbol	name
CHST12	"C4S-2|C4ST2"		carbohydrate sulfotransferase 12
CHST13	C4ST3		carbohydrate sulfotransferase 13
CHST14	"HD4ST|D4ST-1"	D4ST1	carbohydrate sulfotransferase 14
CHST15	"GALNAC4S-6ST|BRAG|KIAA0598"		carbohydrate sulfotransferase 15
CHSY1	"KIAA0990|CSS1"		chondroitin sulfate synthase 1
CHSY3	"CSS3|CHSY-2"		chondroitin sulfate synthase 3
CHTF8	"FLJ20400|CTF8"		chromosome transmission fidelity factor 8
CHTF8P1		CHTF8P	chromosome transmission fidelity factor 8 pseudogene 1
CHTF18	"CHL12|C321D2.4|Ctf18"	C16orf41	chromosome transmission fidelity factor 18
CHTOP	"DKFZP547E1010|SRAG|FOP"	C1orf77	chromatin target of PRMT1
CHUK	"IKK1|IKK-alpha|IkBKA|NFKBIKA|IKKA"	TCF16	component of inhibitor of nuclear factor kappa B kinase complex
CHUK-DT			CHUK divergent transcript
CHURC1	"My015|FLJ33064"	C14orf52	churchill domain containing 1
CHURC1-FNTB			CHURC1-FNTB readthrough
CIAO1	CIA1	WDR39	cytosolic iron-sulfur assembly component 1
CIAO2A	"FLJ22875|CIA2A"	FAM96A	cytosolic iron-sulfur assembly component 2A
CIAO2AP1		FAM96AP1	CIAO2A pseudogene 1
CIAO2AP2		FAM96AP2	CIAO2A pseudogene 2
CIAO2B	"CGI-128|MIP18|CIA2B"	FAM96B	cytosolic iron-sulfur assembly component 2B
CIAO3	"FLJ21988|PRN|HPRN|IOP1|NAR1"	NARFL	cytosolic iron-sulfur assembly component 3
CIAPIN1	CIAE2		cytokine induced apoptosis inhibitor 1
CIAPIN1P	HsT2384		cytokine induced apoptosis inhibitor 1 pseudogene
CIART	"BC017397|CHRONO"	C1orf51	circadian associated repressor of transcription
CIB1	"SIP2-28|CIB|KIP"		calcium and integrin binding 1
CIB2	KIP2	"DFNB48|USH1J"	calcium and integrin binding family member 2
CIB3	KIP3		calcium and integrin binding family member 3
CIB4			calcium and integrin binding family member 4
CIBAR1	"FLJ38979|BARMR1"	"FAM92A1|FAM92A"	CBY1 interacting BAR domain containing 1
CIBAR1-DT		LINC00535	CIBAR1 divergent transcript
CIBAR1P1		"FAM92A2|FAM92A1P1"	CIBAR1 pseudogene 1
CIBAR1P2	"MGC71735|MGC102964"	"FAM92A3|FAM92A1P2"	CIBAR1 pseudogene 2
CIBAR2	FLJ44299	FAM92B	CBY1 interacting BAR domain containing 2
CIC	KIAA0306		capicua transcriptional repressor
CICP1			capicua transcriptional repressor pseudogene 1
CICP2			capicua transcriptional repressor pseudogene 2
CICP3			capicua transcriptional repressor pseudogene 3
CICP4			capicua transcriptional repressor pseudogene 4
CICP5			capicua transcriptional repressor pseudogene 5
CICP6			capicua transcriptional repressor pseudogene 6
CICP7			capicua transcriptional repressor pseudogene 7
CICP8			capicua transcriptional repressor pseudogene 8
CICP9			capicua transcriptional repressor pseudogene 9
CICP10			capicua transcriptional repressor pseudogene 10
CICP11			capicua transcriptional repressor pseudogene 11
CICP12			capicua transcriptional repressor pseudogene 12
CICP13			capicua transcriptional repressor pseudogene 13
CICP14			capicua transcriptional repressor pseudogene 14
CICP15			capicua transcriptional repressor pseudogene 15
CICP16			capicua transcriptional repressor pseudogene 16
CICP17			capicua transcriptional repressor pseudogene 17
CICP18			capicua transcriptional repressor pseudogene 18
CICP19			capicua transcriptional repressor pseudogene 19
CICP20			capicua transcriptional repressor pseudogene 20
CICP21			capicua transcriptional repressor pseudogene 21
CICP22			capicua transcriptional repressor pseudogene 22
CICP23			capicua transcriptional repressor pseudogene 23
CICP24			capicua transcriptional repressor pseudogene 24
CICP25			capicua transcriptional repressor pseudogene 25
CICP26			capicua transcriptional repressor pseudogene 26
CICP27			capicua transcriptional repressor pseudogene 27
CICP28			capicua transcriptional repressor pseudogene 28
CIDEA	CIDE-A		cell death inducing DFFA like effector a
CIDEB			cell death inducing DFFA like effector b
CIDEC	"CIDE-3|FLJ20871|Fsp27"		cell death inducing DFFA like effector c
CIDECP1	CICE	CIDECP	CIDEC pseudogene 1
CIDECP2			CIDEC pseudogene 2
CIITA	"C2TA|NLRA"	MHC2TA	class II major histocompatibility complex transactivator
CILK1	"MRK|LCK2|KIAA0936|MGC46090"	ICK	ciliogenesis associated kinase 1
CILP	"HsT18872|CILP1"		cartilage intermediate layer protein
CILP2	MGC45771		cartilage intermediate layer protein 2
CIMAP1A	"SHIPPO1|hSHIPPO|CT135"	ODF3	ciliary microtubule associated protein 1A
CIMAP1B	FAP123	ODF3B	ciliary microtubule associated protein 1B
CIMAP1C	MGC48986	ODF3L1	ciliary microtubule associated protein 1C
CIMAP1D	FLJ40059	"C19orf19|ODF3L2"	CIMAP1 family member D
CIMAP2	"FLJ40201|LEM"	"C1orf177|LEXM"	ciliary microtubule associated protein 2
CIMAP3	"FLJ23853|pitchfork"	"C1orf88|PIFO"	ciliary microtubule associated protein 3
CIMIP1	"bA196N14.1|LLC1"	C20orf85	ciliary microtubule inner protein 1
CIMIP2A		FAM166A	ciliary microtubule inner protein 2A
CIMIP2B		FAM166B	ciliary microtubule inner protein 2B
CIMIP2C	LOC339778	"C2orf70|FAM166C"	ciliary microtubule inner protein 2C
CIMIP3		GUCA1ANB	ciliary microtubule inner protein 3
CIMIP4	"MGC35206|EAN57"	"C22orf33|TEX33"	ciliary microtubule inner protein 4
CINP	MGC849		cyclin dependent kinase 2 interacting protein
CIP2A		KIAA1524	cellular inhibitor of PP2A
CIPC		KIAA1737	CLOCK interacting pacemaker
CIR1	CIR		corepressor interacting with RBPJ, CIR1
CIR1P1			CIR1 pseudogene 1
CIR1P2			CIR1 pseudogene 2
CIR1P3			CIR1 pseudogene 3
CIRBP	CIRP		cold inducible RNA binding protein
CIRBP-AS1	MGC39338	C19orf23	CIRBP antisense RNA 1
CIROP		LMLN2	ciliated left-right organizer metallopeptidase
CISD1	"MDS029|mitoNEET"	"C10orf70|ZCD1"	CDGSH iron sulfur domain 1
CISD1P1		"ZCD1B|CISD1B"	CDGSH iron sulfur domain 1 pseudogene 1
CISD2	"Miner1|ERIS|NAF-1"	"ZCD2|WFS2"	CDGSH iron sulfur domain 2
