symbol	alias_symbol	prev_symbol	name
A1BG			alpha-1-B glycoprotein
A1BG-AS1	FLJ23569	"NCRNA00181|A1BGAS|A1BG-AS"	A1BG antisense RNA 1
A1CF	"ACF|ASP|ACF64|ACF65|APOBEC1CF"		APOBEC1 complementation factor
A2M	"FWP007|S863-7|CPAMD5"		alpha-2-macroglobulin
A2M-AS1			A2M antisense RNA 1
A2ML1	"FLJ25179|p170"	CPAMD9	alpha-2-macroglobulin like 1
A2ML1-AS1			A2ML1 antisense RNA 1
A2ML1-AS2			A2ML1 antisense RNA 2
A2MP1		A2MP	alpha-2-macroglobulin pseudogene 1
A3GALT2	"IGBS3S|IGB3S"	A3GALT2P	alpha 1,3-galactosyltransferase 2
A4GALT	"A14GALT|Gb3S|P(k)"	P1	alpha 1,4-galactosyltransferase (P1PK blood group)
A4GNT	alpha4GnT		alpha-1,4-N-acetylglucosaminyltransferase
AAAS			aladin WD repeat nucleoporin
AACS	"FLJ12389|SUR-5|ACSF1"		acetoacetyl-CoA synthetase
AACSP1		AACSL	acetoacetyl-CoA synthetase pseudogene 1
AADAC	"DAC|CES5A1"		arylacetamide deacetylase
AADACL2	MGC72001		arylacetamide deacetylase like 2
AADACL2-AS1			AADACL2 antisense RNA 1
AADACL3	OTTHUMG00000001887		arylacetamide deacetylase like 3
AADACL4	OTTHUMG00000001889		arylacetamide deacetylase like 4
AADACP1			arylacetamide deacetylase pseudogene 1
AADAT	"KATII|KAT2|KYAT2"		aminoadipate aminotransferase
AAGAB	"FLJ11506|p34"		alpha and gamma adaptin binding protein
AAK1	"KIAA1048|DKFZp686K16132"		AP2 associated kinase 1
AAMDC	"PTD015|FLJ21035|CK067"	C11orf67	adipogenesis associated Mth938 domain containing
AAMP			angio associated migratory cell protein
AANAT	SNAT		aralkylamine N-acetyltransferase
AAR2	bA234K24.2	C20orf4	AAR2 splicing factor
AARD	LOC441376	C8orf85	alanine and arginine rich domain containing protein
AARS1	"CMT2N|AlaRS"	AARS	alanyl-tRNA synthetase 1
AARS1P1		AARSP1	alanyl-tRNA synthetase 1 pseudogene 1
AARS2	"KIAA1270|bA444E17.1"	AARSL	alanyl-tRNA synthetase 2, mitochondrial
AARSD1	"MGC2744|AlaXp"		alanyl-tRNA synthetase domain containing 1
AARSD1P1			AARSD1 pseudogene 1
AASDH	"NRPS998|LYS2|ACSF4"		aminoadipate-semialdehyde dehydrogenase
AASDHPPT	"LYS5|CGI-80|AASD-PPT|ACPS"		aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	"LORSDH|LKRSDH"		aminoadipate-semialdehyde synthase
AATBC			apoptosis associated transcript in bladder cancer
AATF	"DED|CHE-1|CHE1|BFR2"		apoptosis antagonizing transcription factor
AATK	"AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77"		apoptosis associated tyrosine kinase
AAVS1	AAV		adeno-associated virus integration site 1
ABALON	INXS		apoptotic BCL2L1-antisense long non-coding RNA
ABAT	"GABAT|GABA-T"		4-aminobutyrate aminotransferase
ABCA1	TGD	"ABC1|HDLDT1"	ATP binding cassette subfamily A member 1
ABCA2		ABC2	ATP binding cassette subfamily A member 2
ABCA3	"ABC-C|EST111653|LBM180"	ABC3	ATP binding cassette subfamily A member 3
ABCA3P1			ABCA3 pseudogene 1
ABCA4	"FFM|ARMD2|CORD3"	"STGD1|ABCR|RP19|STGD"	ATP binding cassette subfamily A member 4
ABCA5	EST90625		ATP binding cassette subfamily A member 5
ABCA6	EST155051		ATP binding cassette subfamily A member 6
ABCA7	ABCX		ATP binding cassette subfamily A member 7
ABCA8	KIAA0822		ATP binding cassette subfamily A member 8
ABCA9	EST640918		ATP binding cassette subfamily A member 9
ABCA9-AS1			ABCA9 antisense RNA 1
ABCA10	EST698739		ATP binding cassette subfamily A member 10
ABCA11P	"EST1133530|FLJ14297"	ABCA11	ATP binding cassette subfamily A member 11, pseudogene
ABCA12	"DKFZP434G232|LI2"	ICR2B	ATP binding cassette subfamily A member 12
ABCA13	"FLJ33876|FLJ33951"		ATP binding cassette subfamily A member 13
ABCA15P	FLJ41766	"NCRNA00169|CRYM-AS1"	ATP binding cassette subfamily A member 15, pseudogene
ABCA17P			ATP binding cassette subfamily A member 17, pseudogene
ABCB1	"P-gp|CD243|GP170|ABC20|p-170|ENPAT"	"PGY1|MDR1|CLCS"	ATP binding cassette subfamily B member 1
ABCB4	"MDR2|PFIC-3|GBD1"	"PGY3|MDR3"	ATP binding cassette subfamily B member 4
ABCB5	"EST422562|ABCB5beta|ABCB5alpha"		ATP binding cassette subfamily B member 5
ABCB6	"EST45597|umat|MTABC3"		ATP binding cassette subfamily B member 6 (LAN blood group)
ABCB7	"EST140535|Atm1p|ASAT"	ABC7	ATP binding cassette subfamily B member 7
ABCB8	"EST328128|M-ABC1|MABC1|MITOSUR"		ATP binding cassette subfamily B member 8
ABCB9	EST122234		ATP binding cassette subfamily B member 9
ABCB10	"EST20237|M-ABC2|MTABC2"		ATP binding cassette subfamily B member 10
ABCB10P1	"M-ABC2|MABC2"	"ABCB10P|ABCB10P2"	ABCB10 pseudogene 1
ABCB10P3			ABCB10 pseudogene 3
ABCB10P4			ABCB10 pseudogene 4
ABCB11	"ABC16|SPGP|PFIC-2|PGY4"	"BSEP|PFIC2"	ATP binding cassette subfamily B member 11
ABCC1	GS-X	"MRP|MRP1"	ATP binding cassette subfamily C member 1 (ABCC1 blood group)
ABCC2	"DJS|MRP2|cMRP"	CMOAT	ATP binding cassette subfamily C member 2
ABCC3	"MRP3|cMOAT2|EST90757|MLP2|MOAT-D"		ATP binding cassette subfamily C member 3
ABCC4	"MRP4|EST170205|MOAT-B|MOATB"		ATP binding cassette subfamily C member 4 (PEL blood group)
ABCC5	"MRP5|SMRP|EST277145|MOAT-C"		ATP binding cassette subfamily C member 5
ABCC5-AS1			ABCC5 antisense RNA 1
ABCC6	"MRP6|EST349056|MLP1|URG7"	"ARA|PXE"	ATP binding cassette subfamily C member 6
ABCC6P1			ATP binding cassette subfamily C member 6 pseudogene 1
ABCC6P2			ATP binding cassette subfamily C member 6 pseudogene 2
ABCC8	"HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2"	"SUR|HRINS"	ATP binding cassette subfamily C member 8
ABCC9	"SUR2|CMD1O"		ATP binding cassette subfamily C member 9
ABCC10	"EST182763|MRP7|SIMRP7"		ATP binding cassette subfamily C member 10
ABCC11	MRP8		ATP binding cassette subfamily C member 11
ABCC12	MRP9		ATP binding cassette subfamily C member 12
ABCC13	"PRED6|C21orf73|ABCC13P"		ATP binding cassette subfamily C member 13 (pseudogene)
ABCD1	"AMN|ALDP|adrenoleukodystrophy"	ALD	ATP binding cassette subfamily D member 1
ABCD1P1			ATP binding cassette subfamily D member 1 pseudogene 1
ABCD1P2	bA453N3.6		ATP binding cassette subfamily D member 1 pseudogene 2
ABCD1P3			ATP binding cassette subfamily D member 1 pseudogene 3
ABCD1P4			ATP binding cassette subfamily D member 1 pseudogene 4
ABCD1P5			ATP binding cassette subfamily D member 1 pseudogene 5
ABCD2	"ALDR|ALDRP"	ALDL1	ATP binding cassette subfamily D member 2
ABCD3	"PMP70|ZWS2"	PXMP1	ATP binding cassette subfamily D member 3
ABCD4	"PMP69|P70R|EST352188"	PXMP1L	ATP binding cassette subfamily D member 4
ABCE1	"RLI|OABP|RLI1"	"RNASEL1|RNASELI|RNS4I"	ATP binding cassette subfamily E member 1
ABCF1	EST123147	ABC50	ATP binding cassette subfamily F member 1
ABCF1-DT			ABCF1 divergent transcript
ABCF2	"EST133090|ABC28|M-ABC1|HUSSY-18"		ATP binding cassette subfamily F member 2
ABCF2-H2BK1		ABCF2-H2BE1	ABCF2-H2BK1 readthrough
ABCF2P1			ATP binding cassette subfamily F member 2 pseudogene 1
ABCF2P2			ATP binding cassette subfamily F member 2 pseudogene 2
ABCF3	EST201864		ATP binding cassette subfamily F member 3
ABCG1	ABC8		ATP binding cassette subfamily G member 1
ABCG2	"EST157481|MXR|MXR|MXR-1|MXR1|BCRP|ABCP|CD338|ABC15|BCRP1|BMDP|CDw338|CDw388|GOUT1|UAQTL1"		ATP binding cassette subfamily G member 2 (JR blood group)
ABCG4	WHITE2		ATP binding cassette subfamily G member 4
ABCG5	STSL		ATP binding cassette subfamily G member 5
ABCG8	GBD4		ATP binding cassette subfamily G member 8
ABHD1	"LABH1|FLJ36128"		abhydrolase domain containing 1
ABHD2	LABH2		abhydrolase domain containing 2, acylglycerol lipase
ABHD3	LABH3		abhydrolase domain containing 3, phospholipase
ABHD4	FLJ12816		abhydrolase domain containing 4, N-acyl phospholipase B
ABHD5	"CGI-58|NCIE2"		abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
ABHD6			abhydrolase domain containing 6, acylglycerol lipase
ABHD8	"FLJ11743|MGC14280|MGC2512"		abhydrolase domain containing 8
ABHD10	FLJ11342		abhydrolase domain containing 10, depalmitoylase
ABHD11	PP1226	WBSCR21	abhydrolase domain containing 11
ABHD12	"DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A"	C20orf22	abhydrolase domain containing 12, lysophospholipase
ABHD12B	BEM46L3	C14orf29	abhydrolase domain containing 12B
ABHD13	"bA153I24.2|FLJ14906|BEM46L1"	C13orf6	abhydrolase domain containing 13
ABHD14A	"DKFZP564O243|DORZ1"		abhydrolase domain containing 14A
ABHD14A-ACY1			ABHD14A-ACY1 readthrough
ABHD14B	"MGC15429|CIB"		abhydrolase domain containing 14B
ABHD15			abhydrolase domain containing 15
ABHD15-AS1	"linc-TP53I13|lnc-TP53I13"		ABHD15 antisense RNA 1
ABHD16A	"NG26|D6S82E"	BAT5	abhydrolase domain containing 16A, phospholipase
ABHD16B	dJ591C20.1	C20orf135	abhydrolase domain containing 16B
ABHD17A	MGC5244	"C19orf27|FAM108A1"	abhydrolase domain containing 17A, depalmitoylase
ABHD17AP1	C1orf47	"FAM108A2|ABHD17AP2|FAM108A3|FAM108A11P|FAM108A3P"	ABHD17A pseudogene 1
ABHD17AP3		"FAM108A4|FAM108A4P"	ABHD17A pseudogene 3
ABHD17AP4		"FAM108A5|FAM108A5P"	ABHD17A pseudogene 4
ABHD17AP5		"FAM108A6|FAM108A6P"	ABHD17A pseudogene 5
ABHD17AP6		FAM108A7P	ABHD17A pseudogene 6
ABHD17AP7		FAM108A8P	ABHD17A pseudogene 7
ABHD17AP8		FAM108A9P	ABHD17A pseudogene 8
ABHD17AP9		FAM108A10P	ABHD17A pseudogene 9
ABHD17B	CGI-67	"C9orf77|FAM108B1"	abhydrolase domain containing 17B, depalmitoylase
ABHD17C		FAM108C1	abhydrolase domain containing 17C, depalmitoylase
ABHD18	FLJ21106	C4orf29	abhydrolase domain containing 18
ABI1	"E3B1|ABI-1"	SSH3BP1	abl interactor 1
ABI1P1		"SSH3BP1P|ABI1P"	abl interactor 1 pseudogene 1
ABI2	"ABI-2|AIP-1|ABI2B|AblBP3|argBPIA|SSH3BP2"		abl interactor 2
ABI3	"NESH|SSH3BP3"		ABI family member 3
ABI3BP	"NESHBP|DKFZP586L2024|TARSH"		ABI family member 3 binding protein
ABITRAM	"CG-8|FLJ20457|Simiate"	"C9orf6|FAM206A"	actin binding transcription modulator
ABITRAMP1		FAM206BP	ABITRAM pseudogene 1
ABL1	"JTK7|c-ABL|p150|BCR-ABL|CHDSKM|bcr/abl|c-ABL1|p150|v-abl"	ABL	ABL proto-oncogene 1, non-receptor tyrosine kinase
"ABL1 T315I"	"T315I|p.T315I|ABL1T315I|ABL1 p.T315I"		ABL1 T315I mutation
ABL2	ARG	ABLL	ABL proto-oncogene 2, non-receptor tyrosine kinase
ABLIM1	"abLIM|limatin"	"LIMAB1|ABLIM"	actin binding LIM protein 1
ABLIM2	KIAA1808		actin binding LIM protein family member 2
ABLIM3	KIAA0843		actin binding LIM protein family member 3
ABO	"A3GALNT|A3GALT1"		ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ABR	MDB		ABR activator of RhoGEF and GTPase
ABR-AS1			ABR antisense RNA 1
ABRA	STARS		actin binding Rho activating protein
ABRACL	"PRO2013|HSPC280|Costars"	C6orf115	ABRA C-terminal like
ABRAXAS1	"FLJ13614|ABRA1|ABRAXAS"	"CCDC98|FAM175A"	abraxas 1, BRCA1 A complex subunit
ABRAXAS1P1			ABRAXAS1 pseudogene 1
ABRAXAS1P2			ABRAXAS1 pseudogene 2
ABRAXAS2	"Em:AC068896.4|ABRO1"	"KIAA0157|FAM175B"	abraxas 2, BRISC complex subunit
ABT1	Esf2		activator of basal transcription 1
ABT1P1			activator of basal transcription 1 pseudogene 1
ABTB1	"BPOZ|EF1ABP|Btb3|BTBD21|BPOZ-2"		ankyrin repeat and BTB domain containing 1
ABTB2	"DKFZP586C1619|BTBD22|ABTB2A"		ankyrin repeat and BTB domain containing 2
ABTB3	"FLJ33957|ABTB2B"	BTBD11	ankyrin repeat and BTB domain containing 3
ACAA1	Lnc-Myd88		acetyl-CoA acyltransferase 1
ACAA2	DSAEC		acetyl-CoA acyltransferase 2
ACAA2P1			ACAA2 pseudogene 1
ACACA	"ACC1|ACC-alpha|ACCA|ACCalpha|ACACalpha|Acac1|hACC1"	"ACAC|ACC"	acetyl-CoA carboxylase alpha
ACACB	"HACC275|ACC2|ACCB|ACC-beta|ACCbeta|ACACbeta"		acetyl-CoA carboxylase beta
ACAD8			acyl-CoA dehydrogenase family member 8
ACAD9	"NPD002|MGC14452"		acyl-CoA dehydrogenase family member 9
ACAD9-DT			ACAD9 divergent transcript
ACAD10	MGC5601		acyl-CoA dehydrogenase family member 10
ACAD11	FLJ12592		acyl-CoA dehydrogenase family member 11
ACADL	"LCAD|ACAD4"		acyl-CoA dehydrogenase long chain
ACADM	"MCAD|MCADH|ACAD1"		acyl-CoA dehydrogenase medium chain
ACADS	"SCAD|ACAD3"		acyl-CoA dehydrogenase short chain
ACADSB	"SBCAD|ACAD7"		acyl-CoA dehydrogenase short/branched chain
ACADVL	"VLCAD|LCACD|ACAD6"		acyl-CoA dehydrogenase very long chain
ACAN	CSPGCP	"MSK16|CSPG1|AGC1"	aggrecan
ACAP1	KIAA0050	CENTB1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
ACAP2	"KIAA0041|CNT-B2"	CENTB2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
ACAP2-IT1			ACAP2 intronic transcript 1
ACAP3	KIAA1716	CENTB5	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ACAT1	THIL	ACAT	acetyl-CoA acetyltransferase 1
ACAT2			acetyl-CoA acetyltransferase 2
ACBD3	"GCP60|PAP7"	"GOLPH1|GOCAP1"	acyl-CoA binding domain containing 3
ACBD3-AS1	RP11-275I14.4		ACBD3 antisense RNA 1
ACBD4	FLJ13322		acyl-CoA binding domain containing 4
ACBD5	"DKFZp434A2417|KIAA1996"		acyl-CoA binding domain containing 5
ACBD6	MGC2404		acyl-CoA binding domain containing 6
ACBD7	"FLJ38219|bA455B2.2"		acyl-CoA binding domain containing 7
ACCS	"PHACS|ACS"		1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
ACCSL			1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
ACCSLP1			ACCSL pseudogene 1
ACD	"Ptop|Pip1|Tpp1|Tint1"		ACD shelterin complex subunit and telomerase recruitment factor
ACE	"ACE1|CD143"	DCP1	angiotensin I converting enzyme
ACE2	ACEH		angiotensin converting enzyme 2
ACE2-DT	GS1-594A7.3		ACE2 divergent transcript
ACE3P			angiotensin I converting enzyme 3, pseudogene
ACER1		ASAH3	alkaline ceramidase 1
ACER2	"FLJ41587|ALKCDase2"	ASAH3L	alkaline ceramidase 2
ACER2P1			ACER2 pseudogene 1
ACER3	"FLJ11238|APHC"	PHCA	alkaline ceramidase 3
ACHE		YT	acetylcholinesterase (Yt blood group)
ACIN1	"KIAA0670|fSAP152"	ACINUS	apoptotic chromatin condensation inducer 1
ACKR1	"CCBP1|GPD|Dfy|CD234"	"FY|DARC"	atypical chemokine receptor 1 (Duffy blood group)
ACKR2	"CCR10|D6|CCR9"	"CMKBR9|CCBP2"	atypical chemokine receptor 2
ACKR3	"RDC1|GPR159"	"CMKOR1|CXCR7"	atypical chemokine receptor 3
ACKR4	"CCR11|CCBP2|VSHK1|CCX-CKR|PPR1"	CCRL1	atypical chemokine receptor 4
ACKR4P1	dJ509I19.4	"CCRL1P|CCRL1P1"	ACKR4 pseudogene 1
ACLY	"ATPCL|CLATP|ACL"		ATP citrate lyase
ACMSD			aminocarboxymuconate semialdehyde decarboxylase
ACNATP		BAATP1	acyl-CoA:amino acid N-acyltransferase, pseudogene
ACO1	"IRP1|IREBP"	IREB1	aconitase 1
ACO2	ACONM		aconitase 2
ACO2P1			ACO2 pseudogene 1
ACO2P2			ACO2 pseudogene 2
ACOD1	CAD	IRG1	aconitate decarboxylase 1
ACOT1	"ACH2|CTE-1|LACH2"		acyl-CoA thioesterase 1
ACOT2	"Mte1|ZAP128"		acyl-CoA thioesterase 2
ACOT4	"FLJ31235|PTE-Ib|PTE2B"		acyl-CoA thioesterase 4
ACOT6		C14orf42	acyl-CoA thioesterase 6
ACOT7	"BACH|ACH1|ACT|CTE-II|LACH1|MGC1126|hBACH"		acyl-CoA thioesterase 7
ACOT8	"hACTE-III|hTE|PTE-2|NAP1"	PTE1	acyl-CoA thioesterase 8
ACOT9	"CGI-16|MT-ACT48|ACATE2"		acyl-CoA thioesterase 9
ACOT11	"STARD14|BFIT|KIAA0707|BFIT1|THEM1"	THEA	acyl-CoA thioesterase 11
ACOT12	"Cach|THEAL|STARD15"		acyl-CoA thioesterase 12
ACOT13	HT012	THEM2	acyl-CoA thioesterase 13
ACOX1	PALMCOX		acyl-CoA oxidase 1
ACOX2	"BRCACOX|BRCOX|THCCox"		acyl-CoA oxidase 2
ACOX3			acyl-CoA oxidase 3, pristanoyl
ACOXL	"FLJ11042|ACOX4"		acyl-CoA oxidase like
ACOXL-AS1			ACOXL antisense RNA 1
ACP1	"HAAP|LMW-PTP|LMWPTP"		acid phosphatase 1
ACP2	LAP		acid phosphatase 2, lysosomal
ACP3	"ACP-3|PAP|TM-PAP"	ACPP	acid phosphatase 3
ACP4		ACPT	acid phosphatase 4
ACP5	"TRAP|HPAP|TRAcP"		acid phosphatase 5, tartrate resistant
ACP6	"LPAP|ACPL1"		acid phosphatase 6, lysophosphatidic
ACP7	"FLJ16165|PAPL1|PAPL"		acid phosphatase 7, tartrate resistant (putative)
ACR			acrosin
ACRBP	"SP32|OY-TES-1|CT23"		acrosin binding protein
ACRP1			ACR pseudogene 1
ACRV1	"SPACA2|SP-10|D11S4365"		acrosomal vesicle protein 1
ACSBG1	"BGM|FLJ30320|MGC14352|BG1|KIAA0631|hBG1|hsBG"		acyl-CoA synthetase bubblegum family member 1
ACSBG2	"BGR|PRTD-NY3|DKFZp434K1635"		acyl-CoA synthetase bubblegum family member 2
ACSF2	"FLJ20920|ACSMW"		acyl-CoA synthetase family member 2
ACSF3			acyl-CoA synthetase family member 3
ACSL1	"LACS2|LACS|ACS1|LACS1|FACL1"	FACL2	acyl-CoA synthetase long chain family member 1
ACSL3	"ACS3|PRO2194"	FACL3	acyl-CoA synthetase long chain family member 3
ACSL3-AS1			ACSL3 antisense RNA 1
ACSL3P1			ACSL3 pseudogene 1
ACSL4	"ACS4|LACS4"	"FACL4|MRX63|MRX68"	acyl-CoA synthetase long chain family member 4
ACSL5	"ACS5|ACS2"	FACL5	acyl-CoA synthetase long chain family member 5
ACSL6	"KIAA0837|ACS2|LACS5|LACS2"	FACL6	acyl-CoA synthetase long chain family member 6
ACSL6-AS1			ACSL6 antisense RNA 1
ACSM1	MACS1	BUCS1	acyl-CoA synthetase medium chain family member 1
ACSM2A	"A-923A4.1|MGC150530"	ACSM2	acyl-CoA synthetase medium chain family member 2A
ACSM2B	"HXMA|HYST1046"	ACSM2	acyl-CoA synthetase medium chain family member 2B
ACSM3	SA	SAH	acyl-CoA synthetase medium chain family member 3
ACSM4			acyl-CoA synthetase medium chain family member 4
ACSM5	FLJ20581		acyl-CoA synthetase medium chain family member 5
ACSM5P1			acyl-CoA synthetase medium chain family member 5 pseudogene 1
ACSM6	bA310E22.3	C10orf129	acyl-CoA synthetase medium chain family member 6
ACSS1	"dJ568C11.3|AceCS2L|MGC33843"	ACAS2L	acyl-CoA synthetase short chain family member 1
ACSS2	"ACS|ACSA|AceCS|dJ1161H23.1"	ACAS2	acyl-CoA synthetase short chain family member 2
ACSS3	FLJ21963		acyl-CoA synthetase short chain family member 3
ACTA1	NEM3	ACTA	actin alpha 1, skeletal muscle
ACTA2	ACTSA		actin alpha 2, smooth muscle
ACTA2-AS1	"uc001kfo.1|ZXF1|UC001kfo"		ACTA2 antisense RNA 1
ACTB			actin beta
ACTBL2	DKFZp686D0972		actin beta like 2
ACTBP1			ACTB pseudogene 1
ACTBP2			ACTB pseudogene 2
ACTBP3			ACTB pseudogene 3
ACTBP4			ACTB pseudogene 4
ACTBP6			ACTB pseudogene 6
ACTBP7			ACTB pseudogene 7
ACTBP8	ACTBP2		ACTB pseudogene 8
ACTBP9			ACTB pseudogene 9
ACTBP10			ACTB pseudogene 10
ACTBP11			ACTB pseudogene 11
ACTBP12		ACTGP5	ACTB pseudogene 12
ACTBP14			ACTB pseudogene 14
ACTBP15			ACTB pseudogene 15
ACTBP16			ACTB pseudogene 16
ACTC1	CMD1R	ACTC	actin alpha cardiac muscle 1
ACTE1P			actin epsilon 1, pseudogene
ACTG1		"ACTG|DFNA20|DFNA26"	actin gamma 1
ACTG1P1		"ACTGP1|ACT1GP1"	actin gamma 1 pseudogene 1
ACTG1P2		"ACTL2|ACTGP2"	actin gamma 1 pseudogene 2
ACTG1P3		ACTGP3	actin gamma 1 pseudogene 3
ACTG1P4		ACTGP4	actin gamma 1 pseudogene 4
ACTG1P6		ACTGP6	actin gamma 1 pseudogene 6
ACTG1P7		ACTGP7	actin gamma 1 pseudogene 7
ACTG1P8		ACTGP8	actin gamma 1 pseudogene 8
ACTG1P9		ACTGP9	actin gamma 1 pseudogene 9
ACTG1P10		"ACTL1|ACTGP10"	actin gamma 1 pseudogene 10
ACTG1P11			actin gamma 1 pseudogene 11
ACTG1P12			actin gamma 1 pseudogene 12
ACTG1P13			actin gamma 1 pseudogene 13
ACTG1P14			actin gamma 1 pseudogene 14
ACTG1P15			actin gamma 1 pseudogene 15
ACTG1P16			actin gamma 1 pseudogene 16
ACTG1P17			actin gamma 1 pseudogene 17
ACTG1P18			actin gamma 1 pseudogene 18
ACTG1P19			actin gamma 1 pseudogene 19
ACTG1P20			actin gamma 1 pseudogene 20
ACTG1P21			actin gamma 1 pseudogene 21
ACTG1P22			actin gamma 1 pseudogene 22
ACTG1P23			actin gamma 1 pseudogene 23
ACTG1P24		POTENP	actin gamma 1 pseudogene 24
ACTG1P25	AGPG		actin gamma 1 pseudogene 25
ACTG2	ACTSG	"ACTL3|ACTA3"	actin gamma 2, smooth muscle
ACTL6A	"Actl6|BAF53A|Arp4|Baf53a|INO80K|SMARCN1"		actin like 6A
ACTL6B	"BAF53B|SMARCN2"	ACTL6	actin like 6B
ACTL7A			actin like 7A
ACTL7B	Tact1		actin like 7B
ACTL8	CT57		actin like 8
ACTL9	MGC33407		actin like 9
ACTL10		C20orf134	actin like 10
ACTL11P		ACTBP13	actin like 11, pseudogene
ACTMAP	FLJ41131	C19orf54	actin maturation protease
ACTN1			actinin alpha 1
ACTN1-DT		"C14orf84|ACTN1-AS1"	ACTN1 divergent transcript
ACTN2			actinin alpha 2
ACTN3			actinin alpha 3
ACTN4		FSGS1	actinin alpha 4
ACTN4P1			actinin alpha 4 pseudogene 1
ACTN4P2			actinin alpha 4 pseudogene 2
ACTP1			actin family pseudogene 1
ACTR1A	"ARP1|Arp1A"		actin related protein 1A
ACTR1AP1			ACTR1A pseudogene 1
ACTR1B	Arp1B	CTRN2	actin related protein 1B
ACTR2	ARP2		actin related protein 2
ACTR2P1			ACTR2 pseudogene 1
ACTR2P2			ACTR2 pseudogene 2
ACTR3	ARP3		actin related protein 3
ACTR3-AS1	AC104653.1		ACTR3 antisense RNA 1
ACTR3B	"ARP11|ARP3beta"		actin related protein 3B
ACTR3BP1			ACTR3B pseudogene 1
ACTR3BP2	FKSG73		ACTR3B pseudogene 2
ACTR3BP3			ACTR3B pseudogene 3
ACTR3BP4			ACTR3B pseudogene 4
ACTR3BP5			ACTR3B pseudogene 5
ACTR3BP6			ACTR3B pseudogene 6
ACTR3BP7			ACTR3B pseudogene 7
ACTR3C	ARP11		actin related protein 3C
ACTR3P1			ACTR3 pseudogene 1
ACTR3P2			ACTR3 pseudogene 2
ACTR3P3			ACTR3 pseudogene 3
ACTR5	"FLJ12785|Arp5|INO80M"		actin related protein 5
ACTR6	"ARP6|FLJ13433"		actin related protein 6
ACTR6P1			ACTR6 pseudogene 1
ACTR8	"INO80N|ARP8"		actin related protein 8
ACTR10	"HARP11|ACTR11|Arp11|Arp10"		actin related protein 10
ACTRT1	"AIP1|KIAA0705|ARIP1|Arp-T1"		actin related protein T1
ACTRT1P1			ACTRT1 pseudogene 1
ACTRT2	"Arp-T2|ARPM2|FLJ25424"		actin related protein T2
ACTRT3	ARPM1		actin related protein T3
ACVR1	"SKR1|ALK2|ACVR1A"	ACVRLK2	activin A receptor type 1
ACVR1B	"ALK4|SKR2|ActRIB"	ACVRLK4	activin A receptor type 1B
ACVR1C	"ALK7|ACVRLK7"		activin A receptor type 1C
ACVR2A	ACTRII	ACVR2	activin A receptor type 2A
ACVR2B	ActR-IIB		activin A receptor type 2B
ACVR2B-AS1			ACVR2B antisense RNA 1
ACVRL1	"HHT2|ALK1|HHT"	"ACVRLK1|ORW2"	activin A receptor like type 1
ACY1			aminoacylase 1
ACY3	"HCBP1|MGC9740|ACY-3"		aminoacylase 3
ACYP1			acylphosphatase 1
ACYP2			acylphosphatase 2
ADA	ADA1		adenosine deaminase
ADA2	ADGF	"IDGFL|CECR1"	adenosine deaminase 2
ADAD1	Tenr		adenosine deaminase domain containing 1
ADAD1P1			adenosine deaminase domain containing 1 pseudogene 1
ADAD1P2			adenosine deaminase domain containing 1 pseudogene 2
ADAD2	"TENRL|FLJ00337"		adenosine deaminase domain containing 2
ADAL			adenosine deaminase like
ADAM1A	"FTNAP|PH-30a|Ftna|ADAM1P"	ADAM1	ADAM metallopeptidase domain 1A (pseudogene)
ADAM1B			ADAM metallopeptidase domain 1B (pseudogene)
ADAM2	"PH-30b|PH30|CT15"	FTNB	ADAM metallopeptidase domain 2
ADAM3A	"ADAM3|tMDCI"	CYRN1	ADAM metallopeptidase domain 3A (pseudogene)
ADAM3B		CYRN2	ADAM metallopeptidase domain 3B (pseudogene)
ADAM5	tMDCII	ADAM5P	ADAM metallopeptidase domain 5 (pseudogene)
ADAM6	tMDCIV	C14orf96	ADAM metallopeptidase domain 6 (pseudogene)
ADAM7	"GP-83|EAPI"		ADAM metallopeptidase domain 7
ADAM7-AS1			ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1
ADAM7-AS2			ADAM7 antisense RNA 2
ADAM8	"CD156|MS2|CD156A"		ADAM metallopeptidase domain 8
ADAM9	"MDC9|KIAA0021|MCMP|Mltng"	CORD9	ADAM metallopeptidase domain 9
ADAM10	"kuz|MADM|HsT18717|CD156C"		ADAM metallopeptidase domain 10
ADAM11		MDC	ADAM metallopeptidase domain 11
ADAM12	"MCMPMltna|MLTN"		ADAM metallopeptidase domain 12
ADAM15	MDC15		ADAM metallopeptidase domain 15
ADAM17	"cSVP|CD156B"	TACE	ADAM metallopeptidase domain 17
ADAM18	"tMDCIII|ADAM27"		ADAM metallopeptidase domain 18
